Recipe	Cycles
ALD3 Purge Headspace	20
Plasma SiO2 from 3DMAS	143
Plasma SiO2 from 3DMAS	65
Plasma SiO2 from 3DMAS	65
Plasma SiO2 from 3DMAS	65
Plasma SiO2 from 3DMAS	65
Plasma SiO2 from 3DMAS	30
Plasma SiO2 from 3DMAS	73
Plasma SiO2 from 3DMAS	73
Plasma SiO2 from 3DMAS	143
Plasma SiO2 from 3DMAS	10
Plasma SiO2 from 3DMAS	10
Plasma IWO with boost_revised	53
Plasma IWO with boost_revised	53
Plasma IWO with boost_revised	53
Plasma IWO with boost_revised	53
Plasma IWO with boost_revised	53
Plasma IWO with boost_revised	53
Plasma IWO with boost_revised	53
